week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2020-11-28","2020-11-21","04000US08","Colorado",17489,80548,0,0,1606539600000,"November 28th, 2020","04000US08","Colorado"
"2020-11-28","2020-11-21","04000US12","Florida",20787,125910,0,0,1606539600000,"November 28th, 2020","04000US12","Florida"
"2020-11-28","2020-11-21","04000US13","Georgia",18553,200146,0,0,1606539600000,"November 28th, 2020","04000US13","Georgia"
"2020-11-28","2020-11-21","04000US20","Kansas",22995,57776,0,0,1606539600000,"November 28th, 2020","04000US20","Kansas"
"2020-11-28","2020-11-21","04000US26","Michigan",21493,153685,0,0,1606539600000,"November 28th, 2020","04000US26","Michigan"
"2020-11-21","2020-11-14","04000US08","Colorado",15266,86082,0,0,1605934800000,"November 21st, 2020","04000US08","Colorado"
"2020-11-21","2020-11-14","04000US12","Florida",26931,186291,0,0,1605934800000,"November 21st, 2020","04000US12","Florida"
"2020-11-21","2020-11-14","04000US13","Georgia",29088,253347,0,0,1605934800000,"November 21st, 2020","04000US13","Georgia"
"2020-11-21","2020-11-14","04000US20","Kansas",23679,50794,0,0,1605934800000,"November 21st, 2020","04000US20","Kansas"
"2020-11-21","2020-11-14","04000US26","Michigan",33941,180568,0,0,1605934800000,"November 21st, 2020","04000US26","Michigan"
"2020-11-14","2020-11-07","04000US08","Colorado",9205,86785,2692685,3.22,1605330000000,"November 14th, 2020","04000US08","Colorado"
"2020-11-14","2020-11-07","04000US12","Florida",24358,186514,8769716,2.13,1605330000000,"November 14th, 2020","04000US12","Florida"
"2020-11-14","2020-11-07","04000US13","Georgia",19626,255237,4419929,5.77,1605330000000,"November 14th, 2020","04000US13","Georgia"
"2020-11-14","2020-11-07","04000US20","Kansas",17868,48036,1369508,3.51,1605330000000,"November 14th, 2020","04000US20","Kansas"
"2020-11-14","2020-11-07","04000US26","Michigan",16656,174303,4304929,4.05,1605330000000,"November 14th, 2020","04000US26","Michigan"
"2020-11-07","2020-10-31","04000US08","Colorado",7516,92367,2692685,3.43,1604725200000,"November 7th, 2020","04000US08","Colorado"
"2020-11-07","2020-10-31","04000US12","Florida",31403,205800,8769716,2.35,1604725200000,"November 7th, 2020","04000US12","Florida"
"2020-11-07","2020-10-31","04000US13","Georgia",23827,285798,4419929,6.47,1604725200000,"November 7th, 2020","04000US13","Georgia"
"2020-11-07","2020-10-31","04000US20","Kansas",15471,49150,1369508,3.59,1604725200000,"November 7th, 2020","04000US20","Kansas"
"2020-11-07","2020-10-31","04000US26","Michigan",15320,187648,4304929,4.36,1604725200000,"November 7th, 2020","04000US26","Michigan"
"2020-10-31","2020-10-24","04000US08","Colorado",7138,96782,2692685,3.59,1604116800000,"October 31st, 2020","04000US08","Colorado"
"2020-10-31","2020-10-24","04000US12","Florida",31625,213454,8769716,2.43,1604116800000,"October 31st, 2020","04000US12","Florida"
"2020-10-31","2020-10-24","04000US13","Georgia",37253,302039,4419929,6.83,1604116800000,"October 31st, 2020","04000US13","Georgia"
"2020-10-31","2020-10-24","04000US20","Kansas",18683,45664,1369508,3.33,1604116800000,"October 31st, 2020","04000US20","Kansas"
"2020-10-31","2020-10-24","04000US26","Michigan",15015,213406,4304929,4.96,1604116800000,"October 31st, 2020","04000US26","Michigan"
"2020-10-24","2020-10-17","04000US08","Colorado",6071,105759,2692685,3.93,1603512000000,"October 24th, 2020","04000US08","Colorado"
"2020-10-24","2020-10-17","04000US12","Florida",33542,282261,8769716,3.22,1603512000000,"October 24th, 2020","04000US12","Florida"
"2020-10-24","2020-10-17","04000US13","Georgia",43695,336738,4419929,7.62,1603512000000,"October 24th, 2020","04000US13","Georgia"
"2020-10-24","2020-10-17","04000US20","Kansas",15972,43902,1369508,3.21,1603512000000,"October 24th, 2020","04000US20","Kansas"
